,driver_id,2017-06-01,2017-06-02,2017-06-03,2017-06-04,2017-06-05,2017-06-06,2017-06-07,2017-06-08,2017-06-09,2017-06-10,2017-06-11,2017-06-12,2017-06-13,2017-06-14,2017-06-15,2017-06-16,2017-06-17,2017-06-18,2017-06-19,2017-06-20,2017-06-21,gender,age,number_of_kids,isMALE,hasKids
0,111556,2,2,0,0,4,2,2,3,4,0,0,3,4,2,1,0,0,0,0,2,3,FEMALE,49,4,0,1
1,111575,6,0,0,0,3,6,7,5,0,0,0,5,6,6,6,0,0,0,8,7,5,MALE,49,0,1,0
2,111779,3,3,0,0,0,3,1,4,1,0,0,0,2,4,2,4,0,0,0,3,3,MALE,26,0,1,0
3,111839,7,7,7,7,7,5,5,6,6,7,5,5,6,5,6,7,6,5,7,5,6,MALE,25,0,1,0
4,112486,3,3,0,0,4,4,1,4,3,0,0,1,0,2,1,3,0,0,2,3,4,FEMALE,44,1,0,1
5,112609,7,5,4,5,4,6,4,3,4,0,4,5,4,3,6,6,6,3,4,5,3,MALE,55,0,1,0
6,112698,1,2,0,5,1,4,4,0,4,0,5,1,4,1,3,3,0,6,3,2,5,MALE,43,3,1,1
7,112730,4,4,0,0,0,4,3,1,1,0,0,0,1,3,5,2,0,0,0,2,3,MALE,31,3,1,1
8,113043,8,5,0,0,5,7,0,6,5,0,0,8,7,0,6,7,0,0,4,6,0,MALE,28,0,1,0
9,113140,7,7,5,7,1,5,5,7,7,6,7,7,2,7,6,7,7,8,8,8,7,MALE,18,0,1,0
10,114890,4,5,5,0,7,6,4,7,5,7,0,5,5,4,3,6,5,0,6,5,5,MALE,73,1,1,1
11,115159,2,0,4,5,4,3,0,1,2,4,7,2,4,1,4,3,6,3,2,2,4,MALE,64,2,1,1
12,115363,7,7,5,7,7,7,6,5,7,8,9,7,7,8,5,7,7,8,8,7,5,MALE,30,0,1,0
13,115812,4,0,0,0,3,5,4,5,0,0,0,4,4,5,5,0,0,0,4,6,6,MALE,51,1,1,1
14,116007,7,0,9,8,4,6,7,8,5,4,5,5,8,6,5,7,6,5,8,8,6,MALE,31,1,1,1
