,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,age,number_of_kids,isMALE
111556,2.0,2.0,0.0,0.0,4.0,2.0,2.0,3.0,49.0,4.0,0.0
111556,2.0,0.0,0.0,4.0,2.0,2.0,3.0,4.0,49.0,4.0,0.0
111556,0.0,0.0,4.0,2.0,2.0,3.0,4.0,0.0,49.0,4.0,0.0
111556,0.0,4.0,2.0,2.0,3.0,4.0,0.0,0.0,49.0,4.0,0.0
111556,4.0,2.0,2.0,3.0,4.0,0.0,0.0,3.0,49.0,4.0,0.0
111556,2.0,2.0,3.0,4.0,0.0,0.0,3.0,4.0,49.0,4.0,0.0
111556,2.0,3.0,4.0,0.0,0.0,3.0,4.0,2.0,49.0,4.0,0.0
111556,3.0,4.0,0.0,0.0,3.0,4.0,2.0,1.0,49.0,4.0,0.0
111556,4.0,0.0,0.0,3.0,4.0,2.0,1.0,0.0,49.0,4.0,0.0
111556,0.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,49.0,4.0,0.0
111556,0.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,49.0,4.0,0.0
111556,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,49.0,4.0,0.0
111556,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,49.0,4.0,0.0
111556,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,49.0,4.0,0.0
111575,6.0,0.0,0.0,0.0,3.0,6.0,7.0,5.0,49.0,0.0,1.0
111575,0.0,0.0,0.0,3.0,6.0,7.0,5.0,0.0,49.0,0.0,1.0
111575,0.0,0.0,3.0,6.0,7.0,5.0,0.0,0.0,49.0,0.0,1.0
111575,0.0,3.0,6.0,7.0,5.0,0.0,0.0,0.0,49.0,0.0,1.0
111575,3.0,6.0,7.0,5.0,0.0,0.0,0.0,5.0,49.0,0.0,1.0
111575,6.0,7.0,5.0,0.0,0.0,0.0,5.0,6.0,49.0,0.0,1.0
111575,7.0,5.0,0.0,0.0,0.0,5.0,6.0,6.0,49.0,0.0,1.0
111575,5.0,0.0,0.0,0.0,5.0,6.0,6.0,6.0,49.0,0.0,1.0
111575,0.0,0.0,0.0,5.0,6.0,6.0,6.0,0.0,49.0,0.0,1.0
111575,0.0,0.0,5.0,6.0,6.0,6.0,0.0,0.0,49.0,0.0,1.0
111575,0.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,49.0,0.0,1.0
111575,5.0,6.0,6.0,6.0,0.0,0.0,0.0,8.0,49.0,0.0,1.0
111575,6.0,6.0,6.0,0.0,0.0,0.0,8.0,7.0,49.0,0.0,1.0
111575,6.0,6.0,0.0,0.0,0.0,8.0,7.0,5.0,49.0,0.0,1.0
111779,3.0,3.0,0.0,0.0,0.0,3.0,1.0,4.0,26.0,0.0,1.0
111779,3.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,26.0,0.0,1.0
111779,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,26.0,0.0,1.0
111779,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,26.0,0.0,1.0
111779,0.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,26.0,0.0,1.0
111779,3.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,26.0,0.0,1.0
111779,1.0,4.0,1.0,0.0,0.0,0.0,2.0,4.0,26.0,0.0,1.0
111779,4.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,26.0,0.0,1.0
111779,1.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,26.0,0.0,1.0
111779,0.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,26.0,0.0,1.0
